,primaryTitle,averageRating,runtimeNumber,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,Production_Budget,Worldwide_Gross,Release_dt,gross_log,hyped
12397,Airplane!,7.7,88.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,83453539,1980-07-04,18.239800627783534,True
12427,The Blue Lagoon,5.8,104.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4500000,47923795,1980-06-20,17.68512272399303,False
12428,The Blues Brothers,7.9,133.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000000,57229890,1980-06-20,17.86258688978798,True
12440,Caddyshack,7.3,98.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6000000,39846344,1980-07-25,17.500541240048012,True
12444,Can't Stop the Music,4.1,124.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20000000,2000000,1980-06-20,14.508658238524095,False
12460,Coal Miner's Daughter,7.5,124.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15000000,67182787,1980-03-07,18.02292764173386,True
12484,Dressed to Kill,7.1,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6500000,31899000,1980-01-01,17.27808525065028,True
12487,The Elephant Man,8.1,124.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,26010864,1980-10-03,17.07402489331168,True
12505,Flash Gordon,6.5,111.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35000000,27107960,1980-12-05,17.11533800654742,False
12507,The Fog,6.8,89.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1100000,21445820,1980-02-01,16.881040359182585,False
12512,Friday the 13th,6.5,95.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,550000,59754601,1980-05-09,17.905756766730438,False
12516,Galaxina,3.7,95.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5500000,4865000,1980-06-06,15.397577479152067,False
12538,Heaven's Gate,6.8,219.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44000000,3484523,1980-11-19,15.063842007482277,False
12561,The Island,5.3,109.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000000,15716828,1980-06-13,16.57024260706036,False
12585,The Long Riders,7.0,100.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000000,15198912,1980-05-16,16.536734470101422,False
12631,Ordinary People,7.7,124.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,52302978,1980-09-19,17.772563887260038,True
12642,Popeye,5.2,114.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,49823037,1980-12-12,17.72398804546543,False
12645,Private Benjamin,6.2,109.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15000000,69847348,1980-10-10,18.061822690191114,False
12650,Raging Bull,8.2,129.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18000000,23380203,1980-11-14,16.96740023937646,True
12651,Raise the Titanic,4.9,115.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000,7000000,1980-08-01,15.76142084987672,False
12675,The Shining,8.4,146.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19000000,44744713,1980-05-23,17.61648387280305,True
12683,Somewhere in Time,7.2,103.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5100000,9709597,1980-10-03,16.08862543879256,True
12708,Time Bandits,7.0,116.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12000000,37400000,1981-11-06,17.437181289122726,False
12778,Blow Out,7.4,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18000000,13747234,1981-07-24,16.436348270946276,True
12797,Chariots of Fire,7.2,125.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5500000,61865947,1981-09-25,17.940480473201482,True
12807,Clash of the Titans,6.9,118.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,44400000,1981-06-12,17.608750049924975,False
12809,Conan the Barbarian,6.9,129.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20000000,79114085,1982-05-14,18.186401495265606,False
12839,Dragonslayer,6.7,108.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18000000,6000000,1981-06-26,15.607270193858982,False
12854,Escape from New York,7.2,99.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6000000,25245925,1981-07-10,17.044175354133237,True
12873,For Your Eyes Only,6.8,127.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28000000,195300000,1981-06-26,19.090047400967237,False
12877,The Four Seasons,6.9,107.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500000,42488161,1981-05-22,17.564736053918377,False
12890,Gallipoli,7.4,110.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3000000,5732587,1981-08-28,15.56167764466484,True
12899,Graduation Day,4.8,96.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,250000,23894000,1981-05-01,16.989137981210817,False
12909,Halloween II,6.5,92.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2500000,25533818,1981-10-30,17.055514366749545,False
12915,Heartbeeps,4.2,78.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10000000,6000000,1981-12-18,15.607270193858982,False
12917,Heavy Metal,6.7,86.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9300000,19571091,1981-08-07,16.789564137508922,False
12920,History of the World: Part I,6.9,92.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11000000,31672000,1981-06-12,17.270943599341734,False
12927,The Howling,6.6,91.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000000,17985000,1981-04-10,16.70504869071375,False
12951,The Legend of the Lone Ranger,5.1,98.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18000000,13400000,1981-05-22,16.410765339548004,False
